GRID 100 100
99999999
3.62626 1.80808
0 -90
2900 2949.31 2817.93 1025.53 85.2468 55.6571 59.0674 -535.936 -969.341 -2355.53 
-2715.49 -4088.84 -3699.19 -3000.15 -2765.65 -3106.42 -3813.03 -4796.05 -4942.73 -4893.38 
-5319.99 -5314.49 -5408.28 -5457.93 -5458.38 -5047.55 -2801.27 -4547.15 -4763.47 -5440.32 
-5512.54 -5698.55 -5988.11 -5345.63 -5404.36 -5503.01 -5596.63 -5520.53 -5156.46 -5060.05 
-5277.35 -4988.28 -4456.14 -5114.35 -4561.47 -4970.62 -5235.41 -5505.42 -5831.83 -5665.35 
-5662.71 -5704.82 -5998.93 -5069.23 -5084.35 -4923.09 -4038.25 -5188.21 -4943.95 -4957.21 
-3874.42 -4782.44 -4840.56 -4407.96 -3798.75 -4845.44 -5553.67 -6090.2 -5615.42 -5121.79 
-5261.83 -5437.7 -5617.4 -5799.49 -5799.82 -5812.2 -5706.99 -5661.66 -5326.48 -1319.56 
-2617.22 -803.39 -164.436 -55.5238 -48.2458 10.6076 160.026 -88.1526 -52.5779 -91.711 
-113.852 -483.892 -1855.45 -1831.09 -2696.9 -2455.48 -2303.1 -2681.71 -3294.5 -3000 

2900 2929.53 2871.18 751.961 82.5154 59.4555 59.4541 -551.295 -1337.97 -3074.44 
-3693 -4108.88 -3843 -3434.35 -2884.9 -2980.54 -3969.82 -4692.07 -4846.66 -5019.87 
-5166.59 -5349.61 -5484.92 -5493.04 -5498.92 -5479.94 -5330.17 -5155.51 -5218.52 -5509.63 
-5504.9 -5704.53 -5511.71 -5358.92 -5319.29 -5478.37 -5437.37 -5518.62 -5340.91 -5341.71 
-5453.27 -5617.36 -5463.18 -4861.48 -3607.32 -3653.71 -5091.35 -5437.4 -5471.28 -5527.73 
-5462.76 -5297.76 -5210.11 -4935.8 -5169.01 -4759.4 -4970.53 -5135.06 -5042.88 -5189.71 
-5185.94 -5189.2 -3837.17 -3439.56 -5106.64 -5084.41 -5450.61 -5815.89 -6031.04 -5879.97 
-5357.41 -5343.11 -5454.05 -5494.29 -5489.03 -5465.43 -5292.42 -5139.8 -5683.88 -2196.74 
-832.881 -129.562 -45.1839 7.19544 37.271 -17.2807 77.8142 -24.6348 -58.1604 -98.6275 
-115.917 -482.265 -1782.63 -1710.7 -2825.75 -2573.58 -2191.05 -2544.46 -3258.97 -3000 

2900 2904.7 2811.63 460.644 79.6108 64.7789 70.8949 -697.94 -1689.77 -3464.13 
-4137.28 -4054.53 -3856.55 -3475.01 -3043.97 -2950.22 -4035.25 -4475.53 -4603.25 -4776.34 
-5060.94 -5296.9 -5472.53 -5420.05 -5509.31 -5378.43 -4673.27 -5158.05 -5378.26 -5492.85 
-5508.38 -5558.36 -5404.59 -5315.9 -5205.08 -5196.59 -5232.17 -4986.45 -4681.92 -4716.09 
-4889.32 -4596.1 -3495.94 -2545.2 -3488.25 -3843.84 -4200.3 -5081.46 -5264.61 -5377.61 
-5324.2 -5247.53 -4914.34 -3008.08 -4095.49 -4379.59 -5323.75 -5583.32 -5632.25 -5373.91 
-5253.06 -4640.24 -3810.17 -4725.46 -5025.26 -5202.68 -5574.4 -5809.36 -6031.34 -5706.88 
-5114.3 -5141.18 -5310.35 -5368.49 -5402.36 -5391.39 -5265.98 -5077.74 -4920.92 -4366.29 
-33.746 -18.076 4.07141 150.303 216.989 2.73539 220.668 220.874 83.1962 -98.9274 
-108.349 -506.186 -1199.82 -1279.14 -2996.67 -2866.21 -2140.14 -2555.94 -3208.05 -3000 

2900 2878.34 2717.57 164.616 77.0626 71.295 95.4757 -791.189 -2202.66 -3737.57 
-4179.95 -4098.05 -3885.95 -3541.05 -3151.33 -2908.48 -3554.87 -4074.21 -4310.12 -4624.03 
-4979.08 -5235.26 -4860.09 -4953.72 -4812.94 -4780.8 -4796.34 -4723.55 -4677.75 -4969.14 
-5181.21 -4985.81 -4988.47 -4944.92 -4910.45 -4904.92 -4789.52 -4822.16 -4803.63 -4516.86 
-4865.02 -4540.97 -4773.8 -5000.24 -5161.88 -4461.08 -5045.02 -4978.6 -5199.7 -5122.31 
-4701.81 -2870.44 -4008.23 -4028.48 -4715.68 -5047.77 -5334.11 -5399.17 -5324.51 -5142.66 
-4630 -3713.02 -4210.86 -4686.52 -4980.6 -5358.68 -5738.83 -5908.85 -6018.03 -6122.44 
-5352.48 -5111.86 -5219.48 -5298.29 -5300.38 -5351.62 -5148.78 -5076.83 -4796.27 -5553.1 
-751.567 -13.9616 220.914 377.74 320.015 213.682 371.528 378.341 427.301 -92.293 
-370.79 -1589.18 -1068.44 -1149.87 -3166.98 -3203.8 -2106.33 -2612.55 -3152.42 -3000 

